Title,Year,IMDB,Kills
24 Hour Party People,2002,http://www.imdb.com/title/tt0274309/,7
3:10 To Yuma,2007,http://www.imdb.com/title/tt0381849/,45
300,2007,http://www.imdb.com/title/tt0416449/,600
8MM,1999,http://www.imdb.com/title/tt0134273/,7
The Abominable Dr. Phibes,1971,http://www.imdb.com/title/tt0066740/,10
Above the Law,1988,http://www.imdb.com/title/tt0094602/,18
Action Jackson,1988,http://www.imdb.com/title/tt0094612/,17
The Adventures of Ford Fairlane,1990,http://www.imdb.com/title/tt0098987/,7
Aeon Flux,2005,http://us.imdb.com/title/tt0402022/,58
Akira,1988,http://www.imdb.com/title/tt0094625/,119
Ali G Indahouse,2002,http://www.imdb.com/title/tt0284837/,11
Alien,1979,http://www.imdb.com/title/tt0078748/,9
Aliens vs. Predator: Requiem,2007,http://www.imdb.com/title/tt0758730/,115
Alpha Dog,2007,http://imdb.com/title/tt0426883/,3
Altered States,1980,http://www.imdb.com/title/tt0080360/,5
American Gangster,2007,http://www.imdb.com/title/tt0765429/,15
American Ninja,1985,http://www.imdb.com/title/tt0088708/,114
American Pop,1981,http://www.imdb.com/title/tt0082009/,61
American Psycho,2000,http://amazon.imdb.com/title/tt0144084/,18
American Yakuza,1993,http://www.imdb.com/title/tt0109099/,53
Another Day In Paradise,1997,http://www.imdb.com/title/tt0127722/,9
Apocalypse Now,1979,http://imdb.com/title/tt0078788/,62
Apocalypto,2006,http://www.imdb.com/title/tt0472043/,114
Appaloosa,2008,http://www.imdb.com/title/tt0800308/,10
Armageddon,1998,http://www.imdb.com/title/tt0120591/,16
Evil Dead III: Army Of Darkness,1993,http://www.imdb.com/title/tt0106308/,107
Assault On Precinct 13,1976,http://www.imdb.com/title/tt0074156/,39
Assault On Precinct 13,2005,http://imdb.com/title/tt0398712/,21
Atonement,2007,http://www.imdb.com/title/tt0783233/,34
Austin Powers in Goldmember,2002,http://www.imdb.com/title/tt0295178/,6
Bad Boys,1995,http://www.imdb.com/title/tt0112442/,30
Bad Boys II,2003,http://www.imdb.com/title/tt0172156/,63
Bangkok Dangerous,2008,http://www.imdb.com/title/tt0814022/,38
The Bank Job,2008,http://www.imdb.com/title/tt0200465/,4
District B13,2004,http://www.imdb.com/title/tt0414852/,34
Barton Fink,1991,http://www.imdb.com/title/tt0101410/,3
Batman,1989,http://imdb.com/title/tt0096895/,56
Batman Begins,2005,http://www.imdb.com/title/tt0372784/,18
Batman Returns,1992,http://www.imdb.com/title/tt0103776/,18
A Better Tomorrow,1986,http://www.imdb.com/title/tt0092263/,65
A Better Tomorrow II,1987,http://imdb.com/title/tt0094357/,199
The Big Hit,1998,http://www.imdb.com/title/tt0120609/,38
Big Trouble In Little China,1986,http://www.imdb.com/title/tt0090728/,46
The Black Dahlia,2006,http://imdb.com/title/tt0387877/,13
Blade,1998,http://www.imdb.com/title/tt0120611/,111
Blade II,2002,http://www.imdb.com/title/tt0187738/,98
Blade: Trinity,2004,http://www.imdb.com/title/tt0359013/,140
Blade Runner,1982,http://www.imdb.com/title/tt0083658/,5
BloodRayne,2006,http://www.imdb.com/title/tt0383222/,102
Blood Diamond,2006,http://www.imdb.com/title/tt0450259/,187
Boondock Saints,1999,http://www.imdb.com/title/tt0144117/,33
The Bourne Identity,2002,http://www.imdb.com/title/tt0258463/,8
The Bourne Supremacy,2004,http://www.imdb.com/title/tt0372183/,9
The Bourne Ultimatum,2007,http://www.imdb.com/title/tt0440963/,5
Braveheart,1995,http://www.imdb.com/title/tt0112573/,184
Brazil,1985,http://imdb.com/title/tt0088846/,25
Bridge of Dragons,1999,http://www.imdb.com/title/tt0194722/,109
Broken Arrow,1996,http://www.imdb.com/title/tt0115759/,25
Brotherhood of the Wolf,2001,http://www.imdb.com/title/tt0237534/,40
Buffalo Soldiers,2001,http://www.imdb.com/title/tt0252299/,16
Bullet in the Head,1990,http://imdb.com/title/tt0099426/,214
Bulletproof Monk,2003,http://www.imdb.com/title/tt0245803/,37
Cabin Fever,2002,http://www.imdb.com/title/tt0303816/,19
Casino,1995,http://www.imdb.com/title/tt0112641/,25
Casino Royale,2006,http://www.imdb.com/title/tt0381061,54
Charlie Wilson's War,2007,http://www.imdb.com/title/tt0472062/,22
Charlie's Angels: Full Throttle,2003,http://imdb.com/title/tt0305357/,39
Children of Men,2006,http://www.imdb.com/title/tt0206634/,77
Christine,1983,http://www.imdb.com/title/tt0085333/,6
A Christmas Story,1983,http://www.imdb.com/title/tt0085334/,4
"Chronicles of Narnia: The Lion, the Witch
& the Wardrobe",2005,http://www.imdb.com/title/tt0363771/,86
The Chronicles of Riddick,2004,http://www.imdb.com/title/tt0296572/,187
Circus,2000,http://www.imdb.com/title/tt0191037/,8
Class of 1999,1990,http://www.imdb.com/title/tt0099277/,43
Clear & Present Danger,1994,http://www.imdb.com/title/tt0109444/,41
A Clockwork Orange,1971,http://www.imdb.com/title/tt0066921/,7
Cloverfield,2008,http://www.imdb.com/title/tt1060277/,27
Collateral,2004,http://www.imdb.com/title/tt0369339/,17
Confessions of a Dangerous Mind,2002,http://www.imdb.com/title/tt0290538/,50
Commando,1985,http://www.imdb.com/title/tt0088944/,88
Con Air,1997,http://www.imdb.com/title/tt0118880/,30
Conspiracy Theory,1997,http://www.imdb.com/title/tt0118883/,7
The Constant Gardener,2005,http://www.imdb.com/title/tt0387131/,18
Constantine,2005,http://www.imdb.com/title/tt0360486/,7
Hitman,1998,http://www.imdb.com/title/tt0163818/,25
The Corruptor,1999,http://www.imdb.com/title/tt0142192/,37
The Count of Monte Cristo,2002,http://www.imdb.com/title/tt0245844/,5
Cradle 2 The Grave,2003,http://imdb.com/title/tt0306685/,13
Crank,2006,http://www.imdb.com/title/tt0479884/,29
Creepshow,1982,http://www.imdb.com/title/tt0083767/,15
Crime Spree,2003,http://www.imdb.com/title/tt0310924/,20
"Crouching Tiger, Hidden Dragon",2000,http://www.imdb.com/title/tt0190332/,14
The Crow,1994,http://www.imdb.com/title/tt0109506/,35
The Crucible,1996,http://www.imdb.com/title/tt0115988/,12
Dark Blue,2002,http://www.imdb.com/title/tt0279331/,8
The Dark Knight,2008,http://www.imdb.com/title/tt0468569/,36
Day of the Dead,1985,http://www.imdb.com/title/tt0088993/,40
Dawn of the Dead,1978,http://www.imdb.com/title/tt0077402/,175
Dawn of the Dead,2004,http://imdb.com/title/tt0363547/,131
Death Sentence,2007,http://www.imdb.com/title/tt0804461/,15
Death to Smoochy,2002,http://www.imdb.com/title/tt0266452/,3
Delta Force 2,1990,http://www.imdb.com/title/tt0099399/,92
Demolition Man,1993,http://www.imdb.com/title/tt0106697/,25
